index,date,title,location,description,x,y,filmid
235,10/24/2013,For Here or To Go?,"2338 Folsom St, San Francisco",Couple admiring street art (brief shoot - approx 15 mins within this window). Non-dialogue.,-122.4148358,37.7598751,13
94,2/21/2014,The Diary of a Teenage Girl,Rooftop / TBD ( in Mission District),,-122.415645,37.759939,36
61,5/1/2015,"Smile Again, Jenny  Lee",510 Noe St *18th Street,Main character and her father spend the night in a cabin,-122.433029,37.760677,29
62,5/2/2015,"Smile Again, Jenny  Lee",510 Noe St *18th Street,Main character and her father wake up in a cabin,-122.433029,37.760677,29
74,1/22/2014,The Diary of a Teenage Girl,700 Kansas St,Two characters fraternize inside the house. Only one scene is outside the house when the character finds a note on his car in the driveway,-122.403468,37.76075,36
306,3/13/2015,Steve Jobs,19th St & Kansas St,"Itc, Ptc Camera in Street & Sidewalk Picture Cars Driving. B6 Actors",-122.4031703,37.7609003,30
217,3/24/2013,Man From Reno,368 Connecticut St,Woman is approached by two goons pretending to be detectives. She runs inside the house.,-122.3977203,37.7616234,17
461,3/23/2014,Confessions,700 S. Van Ness @ 18th Street,Character in phone booth,-122.41751,37.761722,9
390,2/16/2013,American Brawler,"1321 45th Avenue, San Francisco, CA 94122 (Residence)","Interior dialogue, exterior establishing shot",-122.505287,37.7619029,3
206,6/25/2015,Entropy,"Ext. Jane Warner Plaza, SF 94114 (intersection of 17th St. & Castro St.)",Lead character walks NB on Castro St. (west side sidewalk). Camera (on tripod) looks west bound.,-122.4349354,37.7625174,12
310,3/1/2013,Saltwater,"BAVC, 2727 Mariposa St. San Francisco",Jenny's workplace - taking to coworkers,-122.4105349,37.7628656,25
102,9/25/2014,Se Armo,Mission and 17th,Two actors walking and talking at the same time,-122.4195575,37.7634242,28
66,5/7/2015,"Smile Again, Jenny  Lee",City Hall,The main character and her father look for an office,-122.428299,37.7637133,29
242,9/13/2014,I Am Michael,"Harvey Milk Plaza, ",Vigil scenes,-122.4317901,37.7640831,15
227,10/24/2013,For Here or To Go?,"Blondie's Bar, 540 Valencia St San Francisco, CA 94110",Non-dialogue montage scene of a night out on the town. (Brief shoot - around 15 minutes within this window),-122.4220593,37.7641992,13
346,11/13/2014,Americana,"Roxie Theater, 3117 16th Street SF CA",Exterior establishing shot of theater interior shots of main character and his son watching a movie,-122.4224081,37.7647103,4
65,5/6/2015,"Smile Again, Jenny  Lee",Kansas St at 17th St,Main character's apartment buliding. She comes in and out and meets another character outside.,-122.4035493,37.7647373,29
92,2/20/2014,The Diary of a Teenage Girl,"Victoria Theatre, 2961 16th St",Characters wait in line for Rocky Horror picture show,-122.418865,37.764859,36
275,7/28/2014,Ant-Man,"601 Buena Vista Ave West, 94117 @ Java St.","Crews prep/strike, see filming dates below",-122.444038,37.766918,5
278,8/20/2014,Ant-Man,"601 Buena Vista Ave West, 94117 @ Java St.",Shoot days: day/night filming EXT. at 610 Buena Vista Ave W,-122.444038,37.766918,5
268,4/28/2014,Noi Tre,"Mighty 119 Utah St, San Francisco 94103",Kim DJs at the Club (Crew = 8; Cast = 1; 10-12 Extras),-122.4069221,37.7674562,21
269,4/29/2014,Noi Tre,"Mighty 119 Utah St, San Francisco 94103","Kim, Alex & Wayne meet @ the party",-122.4069221,37.7674562,21
270,4/30/2014,Noi Tre,"Mighty 119 Utah St, San Francisco 94103",Wayne meets Maria in club (1 Scene @ Door w/7 Extras),-122.4069221,37.7674562,21
421,7/29/2015,Summertime,"Duboce Park, ",Principal sits on lawn and looks at view and our BG extras,-122.4332962,37.7695694,31
423,7/30/2015,Summertime,53 Potomac Street (Duboce Park to Walker St),Walk-up and drive-up to character's home,-122.432785,37.7699814,31
43,4/13/2015,"Smile Again, Jenny  Lee",411 Shrader St,Character visits her mother. Car pulls into driveway,-122.4524765,37.7708054,29
79,1/29/2014,The Diary of a Teenage Girl,770 Haight St,Characters talk in house,-122.43489,37.771831,36
80,2/3/2014,The Diary of a Teenage Girl,770 Haight St,Characters talk in house,-122.4348907,37.7718315,36
81,2/6/2014,The Diary of a Teenage Girl,770 Haight St,Characters talk in house. Character runs up stairs,-122.4348907,37.7718315,36
151,7/7/2013,Quitters,"McLaren Lodge, GGP",Students in English class,-122.4547115,37.7718604,23
458,3/22/2014,Confessions,3223 Mission Street x Valencia Street,"Character hails a cab (No cab present, signals only)",-122.4227436,37.7719553,9
44,4/14/2015,"Smile Again, Jenny  Lee",883 42nd Ave,The main character's mother's house,-122.502706,37.772081,29
45,4/15/2015,"Smile Again, Jenny  Lee",883 42nd Ave,The main character's mother's house,-122.502706,37.772081,29
201,6/23/2015,Entropy,Ext. 1139 Mission St. SF 94103 (between 7th St. & 8th St.),Lead character walks past two other characters leaning against a chain-link fence on south side of Mission St. Camera operated by Steadicam on sidewalk,-122.4069632,37.7725615,12
142,6/26/2013,Quitters,Clement st btwn 5th & 7th Ave,"Character walks down street, goes in grocery store, goes in Green Apple",-122.4647989,37.7734585,23
237,10/24/2013,For Here or To Go?,"297 Page St, San Francisco, CA 94102",Couple admiring street art (brief shoot - approx 15 mins within this window). Non-dialogue.,-122.4255566,37.7735169,13
405,6/30/2015,Unleashed,Fulton St. between Aruguello Blvd. & 4th Ave,Dialogue - 2 characters walking and talking down the street,-122.4616113,37.7738836,42
85,2/12/2014,The Diary of a Teenage Girl,304 Lily St,Character talks on phone,-122.4261198,37.7741977,36
161,10/12/2014,The 9th Life of Louis Drax,885 Bryant Street - South side of street,Scenic view Bryant Street. B-Roll only,-122.404129,37.774459,35
240,9/13/2014,I Am Michael,Ocean Beach @ Balboa,James Franco watching waves from boardwalk walkway,-122.5114201,37.774754,15
177,6/16/2015,Entropy,"Ext. 10 Heron St., SF 94103 (Near intersection w/ Berwick Pl.)","Lead character exits the building, lights and accidentally drops several cigarettes in succession. Lead character exits the building, uses her iPhone to check out celestial bodies in the sky. Lead character walks home (NW) on Berwick Pl.",-122.408348,37.7747933,12
284,8/26/2014,Ant-Man,Market between Stuart and Van Ness,Driving shots - plate shots,-122.4192568,37.7751683,5
388,2/17/2013,American Brawler,"1190 Folsom Street, San Francisco, CA",Filing interior dialogue scenes and exterior establishing shots directly in front of building,-122.409952,37.775372,3
399,7/15/2014,Three Tutus and A Gun,"267 8th Street (at Mission), CA San Francisco, CA 94103",Exterior walk and talk. Three young women (ages 18-20) walk down Mission Street talking about their plans for the night. Approximately 4-6 other actors loiter outside 267 8th Street (at Mission),-122.4106946,37.7756561,40
96,9/22/2014,Se Armo,800 Bryant Street,Actor talking on the phone,-122.4029329,37.7761213,28
415,7/25/2015,Summertime,Alamo Square,4 principals having a day at the,-122.434684,37.776261,31
295,2/23/2015,Steve Jobs,"Davies Symphony Hall, 201 Van Ness Ave., SF, 94102",Int. / Ext. Dialogue,-122.4204669,37.7776493,30
294,2/23/2015,Steve Jobs,"War Memorial Opera House, 301, Van Ness Ave, SF, 94102",Int. / Ext. Dialogue,-122.4208774,37.778583,30
406,6/30/2015,Unleashed,Arguello Blvd. between Edward St. and Anza. St,Walk and Talk,-122.458734,37.778708,42
424,3/24/2014,San Andreas,2nd Street at Townsend Street / Jefferson Street at Powell Street,Plate shots,-122.3905078,37.7806199,26
29,2/19/2014,Big Eyes,Harry's Bar on Fillmore,,-122.4293132,37.7807663,6
327,4/29/2013,"Mom, Murder & Me","South Beach Harbor, Outside Harbor on Sidewalk/Promenade",Two characters interract with a third on the walking area near the harbor entrance,-122.387897,37.781712,18
326,4/12/2013,"Mom, Murder & Me","South Beach Harbor, Inside, by Berth","Film two characters getting onto, and off of a sailboat. The sailboat wold sail into and out of the harbor (not filmed)",-122.386856,37.781754,18
38,4/6/2015,"Smile Again, Jenny  Lee","Manor West, 750 Harrison St",Two characters meet in a bar,-122.398785,37.781873,29
83,2/11/2014,The Diary of a Teenage Girl,"Hamburger Haven, 800 Clement St",Characters talk inside a diner. One character draws,-122.4677747,37.7828146,36
219,3/29/2013,Man From Reno,520 Clement St,Woman walks into bookstore,-122.4648819,37.7831879,17
277,8/19/2014,Ant-Man,"420 Jones St. @ Ellis St., 94102","Shoot day: day/dusk filming, EXT. at Riviera Hotel, rain, 200 BG extras",-122.4128063,37.7848915,5
276,8/11/2014,Ant-Man,"420 Jones St. @ Ellis St., 94102","11Aug-20Aug: Art crew prep/strike, 18Aug-20Aug: SFX/Grip/Elec prep/strike see filming dates below",-122.412643,37.785102,5
48,4/17/2015,"Smile Again, Jenny  Lee","Unitarian Church, 1187 Franklin St",Pianist rehearsal,-122.4232848,37.78529,29
231,10/24/2013,For Here or To Go?,"Pride of the Mediterranean, 1761 Fillmore St, San Francisco, CA",Non-dialogue montage of a couple's night out on the town (Brief Shoot - around 15 minutes within this window). Handheld camera.,-122.4332364,37.7856582,13
90,2/18/2014,The Diary of a Teenage Girl,Geary between Polk and Larkin,Character walks down st w/ crazy characters,-122.418111,37.7861085,36
229,10/24/2013,For Here or To Go?,"Redford, 673 Geary St, San Francisco, CA 94102",Non-dialogue montage scene of a night out on the town. (Brief shoot - around 15 minutes within this window),-122.4143638,37.7864207,13
87,2/18/2014,The Diary of a Teenage Girl,"Magazine, 920 Larkin",Character buys comic book,-122.4179382,37.7864723,36
225,4/3/2013,Man From Reno,120 Cedar St,Man enters store. Another man leaves,-122.4202474,37.7864876,17
139,6/27/2013,Quitters,"Wine Impressions, 3461 California St @ Laurel",,-122.4511143,37.7866531,23
143,6/26/2013,Quitters,"Wine Impressions, 3461 California St @ Laurel",Two characters buy wine,-122.4511143,37.7866531,23
230,10/24/2013,For Here or To Go?,"Swig, 561 Geary St, San Francisco, CA 94102",Non-dialogue montage of a couple's night out on the town (Brief Shoot - around 15 minutes within this window). Handheld camera.,-122.4123919,37.7866971,13
228,10/24/2013,For Here or To Go?,"Rye Bar, 688 Geary St, San Francisco, CA 94102",Non-dialogue montage scene of a night out on the town. (Brief shoot - around 15 minutes within this window),-122.4145817,37.7867628,13
220,3/30/2013,Man From Reno,1121 Polk St,,-122.4200092,37.7870934,17
216,3/24/2013,Man From Reno,1500 Sutter St,,-122.4254303,37.7872467,17
221,3/30/2013,Man From Reno,1500 Sutter St,,-122.4254303,37.7872467,17
222,3/31/2013,Man From Reno,1500 Sutter St,,-122.4254303,37.7872467,17
226,4/4/2013,Man From Reno,1500 Sutter St,Man enters hotel,-122.4254303,37.7872467,17
214,3/22/2013,Man From Reno,1500 Sutter St,Woman arrives at hotel,-122.4254393,37.7872605,17
215,3/23/2013,Man From Reno,1500 Sutter St,,-122.4254393,37.7872605,17
218,3/25/2013,Man From Reno,1500 Sutter St,Hotel bellhop talks to woman,-122.4254393,37.7872605,17
223,4/1/2013,Man From Reno,1500 Sutter St,,-122.4254393,37.7872605,17
3,5/2/2015,Two Seven,Grant Ave between Bush St and California St,two girls walking down street in Chinatown looking at stores,-122.4449279,37.7875491,41
251,9/29/2013,Godzilla,Post Street @ Jones,"Enviro cam in various positions in street, and post park meter ares meterer",-122.4133539,37.7876866,14
173,5/2/2014,San Francisco Song,Geary and Powell Streets up to Post and down to stockton. Block around Union Square,Car pull in front of ST. Francis hotel and two people get out or into the car. Camera is on sticks on street. Do not have to be in Union Square. There is playback audio.,-122.4074374,37.7879938,27
37,12/14/2014,Radio Dreams,"Maiden Lane - San Francisco, CA",Actor walking around,-122.405212,37.788219,24
103,9/25/2014,Se Armo,Grant and Post,Actor talking on the phone,-122.4052403,37.7887,28
105,10/3/2014,Se Armo,Grant and Post,B/ROLL,-122.4052826,37.7887278,28
75,1/27/2014,The Diary of a Teenage Girl,"Presidio Branch Library, 3150 Sacramento","In the 70s, kids hang out in front of a high school. A character gets picked up from school",-122.444892,37.7888519,36
55,4/25/2015,"Smile Again, Jenny  Lee",Montgomery St at Post St,Character stands on the sidewalks and makes a phone call,-122.4020365,37.7891114,29
97,9/22/2014,Se Armo,Sutter and Powell (Cable Car View),Actor talking on the phone,-122.4086098,37.7892298,28
6,9/14/2014,Edsa Woolworth,Corner of Main St. and Folsom St.,2 actors conversing,-122.391871,37.7893969,11
296,4/6/2015,Steve Jobs,"Sutter - Stockton Garage, 444 Stockton St.",Int. / Ext. Dialogue,-122.4069891,37.7899412,30
370,8/13/2014,Terminator Genesys,Sutter Stockton Garage - Motion Picture Plate 8th Floor,VFX - Plate shot. Movie camera on sticks,-122.406538,37.789968,33
344,11/5/2014,Americana,Jackson Street at Spruce,Main character gets dropped of at his home. Says goodbye to his wife,-122.4541202,37.7899801,4
371,8/13/2014,Terminator Genesys,Bush St. at Stockton St. (On to of the Tunnel),VFX - Plate shot. Movie camera on sticks,-122.4071293,37.79037,33
233,10/24/2013,For Here or To Go?,"355 San Francisco Bicycle Route 5, San Francisco, CA",Non-dialogue scene of couple riding on bicycle pedicab on a date. Handheld camera.,-122.3893403,37.7904685,13
448,7/27/2014,San Andreas,Grant Ave and Bush St,Characters walk down street and it's totally wrecked from a massive earthquake,-122.4056239,37.7905548,26
2,5/2/2015,Two Seven,"Chinatown Gate, Grant Ave and Bush St",Two girls stop in front of dragon statue at entrance to Chinatown walk onto xxx street,-122.4055378,37.790581,41
287,8/26/2014,Ant-Man,Intersection of California at Polk,Driving shots - plate shots,-122.4206999,37.7905947,5
460,3/23/2014,Confessions,2190 Broadway Street @ Webster,One character walking down street,-122.4324748,37.7907512,9
99,9/22/2014,Se Armo,Embarcadero and Folsom,Two actor talking with bridge view on the back,-122.3901603,37.79076,28
100,9/25/2014,Se Armo,Embarcadero and Folsom,Two actor talking with bridge view on the back,-122.389967,37.790889,28
257,9/28/2013,Godzilla,Mission Street @ Beal,Envirocam placed in street & posted park lane on Mission Street,-122.3958262,37.7911592,14
21,8/28/2014,Big Eyes,1101 Filbert @ Leavenworth,ext. Walter Apt. Car drives down street & turns left onto Leavenworth,-122.415954,37.7914,6
27,2/19/2014,Big Eyes,Chinatown at Pine St. and Grant,B-roll,-122.4057802,37.7915231,6
250,9/29/2013,Godzilla,Kearney @ Pine,Enviro cam in street & yellow parking lane on NW corner of Kearney & Pine,-122.4042596,37.7916984,14
463,10/4/2013,Zen Dog,Steuart St. between Market St. and Howard St,"Walk and talk scene between two characters, hand held camera, small crew",-122.3916406,37.7920216,43
118,7/27/2013,Dawn of the Planet of the Apes,CA at Powell,Picture car drives down CA St. ITC avoid cable cars,-122.4091701,37.7920705,10
120,7/27/2013,Dawn of the Planet of the Apes,University Club Powell @ CA Rooftop Some load in & storage 7/26,Camera hangs over roof. No traffic control. View down CA street. END of movie. Greens on corner of building,-122.409024,37.792272,10
42,4/13/2015,"Smile Again, Jenny  Lee","Fairmont Hotel, 950 Mason St",Characters meet in restaurant,-122.4104804,37.7923317,29
426,3/26/2014,San Andreas,Clay Street at Taylor / Bay Street at Polk Street,Plate shoots,-122.4210524,37.7923947,26
262,4/15/2013,Need For Speed,Embarcadero between Broadway to Folsom Street,PREP in day time from 7am to 7pm on 4/15. SHOOT from 7pm on 4/15 to 7am on 4/16. Car chases along Embarcadero Lane closures on Embarcadero St,-122.391286,37.792483,20
449,7/27/2014,San Andreas,555 California St,Characters walk out of broken window of 555 California out to Kearny St. Splinter unit films a car driving into the garage at 555 California (lane closure needed),-122.4038467,37.7925758,26
246,9/28/2013,Godzilla,Pine Street @ Davis St @ Market Street,Enviro cam place in bus zone on Market Street during takes,-122.3974538,37.7925788,14
175,5/27/2015,The Sweet Life,Sacramento Street (going west) at Mason street. North East corner,Our two lead actors walk up Sacramento Street (westward),-122.4109872,37.7927599,39
47,4/15/2015,"Smile Again, Jenny  Lee",Mason Street and Sacramento Street,"2 characters walk to a waiting taxi, have a brief exchange and leave. No driving scenes.",-122.4110305,37.7927865,29
123,7/28/2013,Dawn of the Planet of the Apes,City Hall INT,Pretend to upstairs 4th fl throw ape over. Aftermath rotanda. Vanness doors view,-122.4013518,37.7927937,10
15,9/16/2014,Age of Adaline,CA @ Montgomery,Taxi comes down CA St. Cable Car behind it. Car Parks 465 CA St. 2PD,-122.4028272,37.792877,1
267,4/17/2013,Need For Speed,Powell Street btwn Geary & Sacramento Street,Car drives up and down Powell Street,-122.4093662,37.7929899,20
365,7/29/2014,Terminator Genesys,Union Square Area,VFX. Camera on sticks scanning buildings,-122.402946,37.7930033,33
232,10/24/2013,For Here or To Go?,"134 San Francisco Bicycle Route 5, San Francisco, CA",Non-dialogue scene of couple riding on bicycle pedicab on a date. Handheld camera.,-122.3920949,37.793259,13
1,5/2/2015,Two Seven,Waverly place between Clay St and Sacramento St,(two girls walking through Chinatown pick up guitar case from beggar on street),-122.4066301,37.7933244,41
447,7/26/2014,San Andreas,Clay St and Taylor St (Intersection),3 Characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg,-122.4128289,37.7934408,26
282,8/26/2014,Ant-Man,California between Kearney and Davis,Driving shots - plate shots,-122.3975882,37.7935006,5
245,9/28/2013,Godzilla,California Street @ Davis Street,Enviro cam to shoot several takes of 360¡ã. Camera on tripod placed in street,-122.3976275,37.7935225,14
385,1/24/2015,Terminator Genesys,California St. @ Davis St,Camera on Sticks. Base of California street. Looking west past Cable Cars. In post a Wave of destruction wipes out city,-122.3976275,37.7935225,33
4,5/2/2015,Two Seven,Embarcadero street between Mission and Harrison,2 girls looking at bridge holding a guitar case,-122.392606,37.793687,41
404,7/7/2015,Unleashed,Embarcadero between Mission and Harrison (Filming from 6-10 pm),Nighttime bicycle ride down the Embracadero,-122.2732453,37.7938309,42
28,2/19/2014,Big Eyes,Way Faire Inn on Leidsdorff,B-roll,-122.402376,37.793968,6
252,9/29/2013,Godzilla,Stockton @ Clay Street,Camera on street and Red Zone of Clay Street 2 meters posted on Stockton,-122.4079435,37.7940683,14
69,5/14/2015,"Smile Again, Jenny  Lee",2100 Pacific Ave at Laguna St,A character walks down the street at night,-122.430091,37.794227,29
247,,Godzilla,Sacramento Street @ Front Street,Enviro cam place in street for several 360¡ã takes,-122.3989831,37.7942958,14
261,9/30/2013,Godzilla,Sacramento @ Front,Envirocam still shot,-122.3989831,37.7942958,14
146,6/30/2013,Quitters,"Yerba Buena, Quarters 62",Teenagers have party in backyard,-122.3951056,37.7943049,23
147,7/1/2013,Quitters,"Yerba Buena, Quarters 62",Kids @ a party in backyard,-122.3951056,37.7943049,23
301,3/12/2015,Steve Jobs,Intersection of Clay St & Walter U Lum Pl,"Itc, Camera in Street & Sidewalk, Pedestrian Itc, B6 Actors on Sidewalk Set Dressing on Sidewalk",-122.4056483,37.794359,30
374,8/16/2014,Terminator Genesys,Lane Closure Embarcadero Between Pier 2 and Harrison - Condors,VFX. Camera on Condor scanning buildings,-122.391995,37.79463,33
54,4/25/2015,"Smile Again, Jenny  Lee",Clay St at Sansome St,Character parks her car and see another character on the street dropping an envelope in a mailbox. She waits for mail truck to look at the envelope.,-122.4015261,37.7948631,29
198,6/20/2015,Entropy,"Int. Omada Health (500 Sansome St., Suite 550, SF 94111)",Lead character sits at her desk and talks to another character.,-122.4012736,37.7950837,12
263,4/16/2013,Need For Speed,Embarcadero between Broadway to Folsom Street (Tentative),"Car chases along Embarcadero. If filming completed on MON night, then TUES will be wrap out day. If filming not complete, then TUES night will be for pick up shots / re-shoot",-122.394022,37.795399,20
384,1/23/2015,Terminator Genesys,Ferry Building,Still Photography of Ferry Building and City in BG South Side of the Pier Toward the City / Ferry Building,-122.393342,37.795541,33
387,1/24/2015,Terminator Genesys,Ferry Building,Still Photography of Ferry Building and City in BG South Side of the Pier Toward the City / Ferry Building,-122.393332,37.795583,33
256,9/27/2013,Godzilla,Embarcadero @ Washington,Enviro cam shot from sidewalk on North East side of Embarcadero,-122.2779728,37.7958922,14
158,10/12/2014,The 9th Life of Louis Drax,649 Jackson Street,Scenic view of Chinatown. B-Roll only,-122.4060363,37.7960553,35
224,4/3/2013,Man From Reno,1650 Jones St,,-122.4149475,37.7966347,17
